config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE
0,0,0,0.54839725800000005,0,0,0,0
1,0.0011097851688522183,2.0620350513698045e-06,0.550329866,0.0004531598237368479,1.7019243373767343e-08,0,0
2,0.0033380805827431781,1.847992113813748e-05,0.54693357499999995,0.0012970652517507967,1.194790884819752e-07,0,0
3,0.0077721270783003525,9.9866432623115265e-05,0.54820016800000004,0.0028427919687580455,6.0075800768148561e-07,0,0
4,0.016560572129137294,0.00045358566130382111,0.54733621899999996,0.0056359213564813647,2.6481837876796805e-06,0,0
5,0.033992299752577185,0.0019100846225382014,0.54638019199999999,0.010702741458137941,1.1150956279907059e-05,0,0
6,0.068163251079341319,0.0076818193750784018,0.549853904,0.020113713291475144,4.5599367969331873e-05,0,0
7,0.13270664160977536,0.029177147563374289,0.54769298499999997,0.037924398816769393,0.00018462270399124419,0,0
8,0.25396042226328153,0.10736252875123943,0.54743835100000005,0.069676720305985027,0.00073896457082352565,0,0
9,0.43332523124459066,0.31607131459275761,0.54573806800000002,0.12373010939609654,0.0029401919986455881,0,0
10,0.52500000000000002,0.47114563557409672,0.54447250800000002,0.21554624419381674,0.01164318199719323,0,0
11,0.52500000000000002,0.47114563557409672,0.54433354899999997,0.36165315896551986,0.045292702116026262,0,0
12,0.52500000000000002,0.47114563557409672,0.54594711500000004,0.57702697364900313,0.17229899251781139,0,0
13,0.52500000000000002,0.47114563557409672,0.54652619300000005,0.87245593284483214,0.66611595597282347,0,0
14,0.52500000000000002,0.47114563557409672,0.54485495500000003,0.97663708690330475,1,0,0
15,0.52500000000000002,0.47114563557409672,0.542883373,0.97663708690330475,1,0,0
16,0.52500000000000002,0.47114563557409672,0.543586982,0.97663708690330475,1,0,0
17,0.00098886312290052589,2.2735881522485389e-06,0.55100605300000005,0,0,0.00038933580010956355,1.3082085420288639e-08
18,0.0029698669833722398,2.027727904599877e-05,0.54996824700000002,0,0,0.0011416362040177295,9.1300779360211928e-08
19,0.0069567838116551071,0.0001108273192904935,0.55014787600000004,0,0,0.0025568504085678729,4.5901980635861821e-07
20,0.014825142439202816,0.00050292863224386971,0.55036663299999999,0,0,0.0049603428876978497,2.0305709533955479e-06
21,0.030386455771498486,0.0021143004556573568,0.549796175,0,0,0.009736247895320892,8.5384461797951524e-06
22,0.060646479550388176,0.0084335063146171677,0.54953839500000001,0,0,0.018519262146420523,3.5096941549337389e-05
23,0.11899386919165478,0.032496832579508021,0.54998045500000003,0,0,0.03494145227395469,0.0001423265660477032
24,0.22701392301864659,0.11865966525184525,0.54924927400000001,0,0,0.064610426875406787,0.00057183646063555167
25,0.38967001116973971,0.35286919698461539,0.54887383599999995,0,0,0.11520809326735686,0.0022586531439395419
26,0.47499999999999998,0.52885436442590328,0.54778424800000003,0,0,0.19963179341196224,0.008946087076580388
27,0.47499999999999998,0.52885436442590328,0.54886024099999997,0,0,0.33648553091280414,0.035082538456772422
28,0.47499999999999998,0.52885436442590328,0.54715051800000003,0,0,0.53470161561243212,0.12882137723397133
29,0.47499999999999998,0.52885436442590328,0.54856532899999999,0,0,0.80637127217523918,0.47411868031237031
30,0.47499999999999998,0.52885436442590328,0.54833864899999996,0,0,0.99989290085679317,1
31,0.47499999999999998,0.52885436442590328,0.54932889500000004,0,0,0.99989290085679317,1
32,0.47499999999999998,0.52885436442590328,0.54951707100000002,0,0,0.99989290085679317,1
