config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE
0,0,0,0.039345552999999998,0,0
1,3.7554706766340052e-06,2.1350795975271888e-11,0.038606247000000003,3.7554706766340052e-06,2.1350795975271888e-11
2,1.1319022684040537e-05,1.5011794622246465e-10,0.038934894999999997,1.1319022684040537e-05,1.5011794622246465e-10
3,2.6394530940918314e-05,7.4928588565518265e-10,0.038543144000000001,2.6394530940918314e-05,7.4928588565518265e-10
4,5.6428120494679849e-05,3.3042794949673516e-09,0.038796215000000002,5.6428120494679849e-05,3.3042794949673516e-09
5,0.00011706819138035286,1.3940543828471842e-08,0.038770756000000003,0.00011706819138035286,1.3940543828471842e-08
6,0.00023848104401979258,5.7272026393568697e-08,0.03874213,0.00023848104401979258,5.7272026393568697e-08
7,0.00048104047721158851,2.324439718845935e-07,0.038776798000000001,0.00048104047721158851,2.324439718845935e-07
8,0.00096266855673151101,9.2975645070391643e-07,0.038373603999999999,0.00096266855673151101,9.2975645070391643e-07
9,0.0019327200629724595,3.7426264644744238e-06,0.038669028000000001,0.0019327200629724595,3.7426264644744238e-06
10,0.0038637006580702852,1.49963339788256e-05,0.038700328999999999,0.0038637006580702852,1.49963339788256e-05
11,0.0077472759971117669,6.0243221144233817e-05,0.038407680999999999,0.0077472759971117669,6.0243221144233817e-05
12,0.015466128656749562,0.00023984908150356297,0.038511702000000002,0.015466128656749562,0.00023984908150356297
13,0.030873950939353207,0.00095564969165818161,0.037872792000000002,0.030873950939353207,0.00095564969165818161
14,0.061988555289854537,0.0038502286827478212,0.037406175,0.061988555289854537,0.0038502286827478212
15,0.12379230407137271,0.015382404427033026,0.034836152000000002,0.12379230407137271,0.015382404427033026
16,0.24616647193658492,0.06101199941508266,0.031537994999999999,0.24616647193658492,0.06101199941508266
17,0.51280152471320117,0.24766528138759639,0.028861997,0.51280152471320117,0.24766528138759639
18,0.99325406999347132,0.97625299115738651,0.019773631999999999,0.99325406999347132,0.97625299115738651
19,1,1,0.019814471,1,1
20,1,1,0.019826445000000002,1,1
