config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE
0,0,0,0.039550139999999998,0,0
1,3.7554706766340052e-06,2.1350795975271888e-11,0.038976465000000002,3.7554706766340052e-06,2.1350795975271888e-11
2,1.1319022684040537e-05,1.5011794622246465e-10,0.039078904999999997,1.1319022684040537e-05,1.5011794622246465e-10
3,2.6394530940918314e-05,7.4928588565518265e-10,0.039097310000000003,2.6394530940918314e-05,7.4928588565518265e-10
4,5.6428120494679849e-05,3.3042794949673516e-09,0.039053055000000003,5.6428120494679849e-05,3.3042794949673516e-09
5,0.00011706819138035286,1.3940543828471842e-08,0.038772279,0.00011706819138035286,1.3940543828471842e-08
6,0.00023848104401979258,5.7272026393568697e-08,0.038632958000000002,0.00023848104401979258,5.7272026393568697e-08
7,0.00048104047721158851,2.324439718845935e-07,0.038448610000000001,0.00048104047721158851,2.324439718845935e-07
8,0.00096266855673151101,9.2975645070391643e-07,0.038714156,0.00096266855673151101,9.2975645070391643e-07
9,0.0019327200629724595,3.7426264644744238e-06,0.038594453000000001,0.0019327200629724595,3.7426264644744238e-06
10,0.0038637006580702852,1.49963339788256e-05,0.038772380000000002,0.0038637006580702852,1.49963339788256e-05
11,0.0077472759971117669,6.0243221144233817e-05,0.038506903000000002,0.0077472759971117669,6.0243221144233817e-05
12,0.015466128656749562,0.00023984908150356297,0.038570567,0.015466128656749562,0.00023984908150356297
13,0.030873950939353207,0.00095564969165818161,0.037443898000000003,0.030873950939353207,0.00095564969165818161
14,0.061988555289854537,0.0038502286827478212,0.036806480000000003,0.061988555289854537,0.0038502286827478212
15,0.12379230407137271,0.015382404427033026,0.034667204,0.12379230407137271,0.015382404427033026
16,0.24616647193658492,0.06101199941508266,0.031648170000000003,0.24616647193658492,0.06101199941508266
