config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE
0,0,0,0.48974670999999997,0,0,0,0,0,0
1,5.0443812664571499e-05,4.5055924288606615e-09,0.48452522599999998,0,0,0,0,0.00044636213875484773,1.2123420541968759e-08
2,0.00015138852500723855,3.1757325529872609e-08,0.487107758,0,0,0,0,0.0012207741926081306,8.5202409298701866e-08
3,0.00035171643398997939,1.5729642713840137e-07,0.49074886000000001,0,0,0,0,0.0025842092512702274,4.2273380854628752e-07
4,0.00074974255408688148,6.9011309159915343e-07,0.491851013,0,0,0,0,0.0050978705580568481,1.8776802509906289e-06
5,0.001562276537069752,2.9474457727783233e-06,0.49402277700000002,0,0,0,0,0.0096838115197718719,7.8781740840588525e-06
6,0.0031418406878834259,1.1858746030505242e-05,0.49787499899999998,0,0,0,0,0.017895703660261074,3.2209238392155289e-05
7,0.0062549431823633213,4.7175147903370013e-05,0.50389295300000003,0,0,0,0,0.033024180849732458,0.00013050766142434523
8,0.012579918512704761,0.00019073023030139388,0.49982452100000002,0,0,0,0,0.0597191578797443,0.00052211512387918
9,0.025223420668630599,0.00076301359562271087,0.50050091600000002,0,0,0,0,0.10760173572793312,0.0020827036680258959
10,0.050803604695358939,0.0030696640428214059,0.50362821800000002,0,0,0,0,0.19115920506163295,0.0082403358316727199
11,0.00084343536456167839,6.7944292661458802e-07,0.50167340699999996,0,0,0.0015607340272276234,8.699227671129213e-08,0,0
12,0.00089328288805964168,7.5853881782347676e-07,0.50061795399999998,0,0,0.0015607340272276234,8.699227671129213e-08,0.00044636213875484773,1.2123420541968759e-08
13,0.00099343901087200863,9.3495056560455926e-07,0.50092546199999999,0,0,0.0015607340272276234,8.699227671129213e-08,0.0012207741926081306,8.5202409298701866e-08
14,0.001197171013267883,1.3677015007270336e-06,0.50168062099999999,0,0,0.0015607340272276234,8.699227671129213e-08,0.0025842092512702274,4.2273380854628752e-07
15,0.0015958190737279687,2.4953469304693298e-06,0.50662269299999996,0,0,0.0015607340272276234,8.699227671129213e-08,0.0050978705580568481,1.8776802509906289e-06
16,0.0024003966710964019,5.9213920035381815e-06,0.50604950800000004,0,0,0.0015607340272276234,8.699227671129213e-08,0.0096838115197718719,7.8781740840588525e-06
17,0.0040032477863703661,1.7378778049187078e-05,0.50609727100000002,0,0,0.0015607340272276234,8.699227671129213e-08,0.017895703660261074,3.2209238392155289e-05
18,0.0071224126850774512,5.7735186246860147e-05,0.50096501000000004,0,0,0.0015607340272276234,8.699227671129213e-08,0.033024180849732458,0.00013050766142434523
19,0.013433851592832346,0.0002110156629718037,0.50097410899999995,0,0,0.0015607340272276234,8.699227671129213e-08,0.0597191578797443,0.00052211512387918
20,0.026031965403292553,0.00079969156323977898,0.49068588000000002,0,0,0.0015607340272276234,8.699227671129213e-08,0.10760173572793312,0.0020827036680258959
21,0.051612612250623524,0.0031435890535213853,0.48695474500000002,0,0,0.0015607340272276234,8.699227671129213e-08,0.19115920506163295,0.0082403358316727199
22,0.0025401818569314033,5.9950787138868399e-06,0.48874789200000002,0,0,0.0040550529216908859,6.0804941017694669e-07,0,0
23,0.0025899556240460402,6.2270066055652403e-06,0.49012775600000003,0,0,0.0040550529216908859,6.0804941017694669e-07,0.00044636213875484773,1.2123420541968759e-08
24,0.0026885421230740986,6.6987662148365346e-06,0.49018002799999999,0,0,0.0040550529216908859,6.0804941017694669e-07,0.0012207741926081306,8.5202409298701866e-08
25,0.0028866979119645361,7.7247486837536658e-06,0.49076794099999999,0,0,0.0040550529216908859,6.0804941017694669e-07,0.0025842092512702274,4.2273380854628752e-07
26,0.0032844455375788751,1.0057398239376358e-05,0.492298558,0,0,0.0040550529216908859,6.0804941017694669e-07,0.0050978705580568481,1.8776802509906289e-06
27,0.0040744319772104097,1.5869279029950844e-05,0.48736380200000001,0,0,0.0040550529216908859,6.0804941017694669e-07,0.0096838115197718719,7.8781740840588525e-06
28,0.0056852275112017313,3.228460334132922e-05,0.48602805300000002,0,0,0.0040550529216908859,6.0804941017694669e-07,0.017895703660261074,3.2209238392155289e-05
29,0.0089222565784281196,8.4049657324845143e-05,0.48589257000000002,0,0,0.0040550529216908859,6.0804941017694669e-07,0.033024180849732458,0.00013050766142434523
30,0.015268557652371454,0.00025948297732292935,0.48413901100000001,0,0,0.0040550529216908859,6.0804941017694669e-07,0.0597191578797443,0.00052211512387918
31,0.027979461560468898,0.00089776855824753833,0.48347664200000001,0,0,0.0040550529216908859,6.0804941017694669e-07,0.10760173572793312,0.0020827036680258959
32,0.053558512000899998,0.0033355276697158414,0.48381953,0,0,0.0040550529216908859,6.0804941017694669e-07,0.19115920506163295,0.0082403358316727199
33,0.0058373034384339006,3.1438169451102983e-05,0.485435913,0,0,0.0082544373065514005,3.0366291143224199e-06,0,0
34,0.0058864203916338563,3.1954132853431482e-05,0.49169131799999999,0,0,0.0082544373065514005,3.0366291143224199e-06,0.00044636213875484773,1.2123420541968759e-08
35,0.0059856510089319921,3.3016151828627501e-05,0.48893069,0,0,0.0082544373065514005,3.0366291143224199e-06,0.0012207741926081306,8.5202409298701866e-08
36,0.0061872960876633897,3.5240140244229907e-05,0.48666878200000002,0,0,0.0082544373065514005,3.0366291143224199e-06,0.0025842092512702274,4.2273380854628752e-07
37,0.0066056916635501457,4.0165508160670084e-05,0.48918173799999998,0,0,0.0082544373065514005,3.0366291143224199e-06,0.0050978705580568481,1.8776802509906289e-06
38,0.0073903010446441141,5.0584463211586522e-05,0.477697435,0,0,0.0082544373065514005,3.0366291143224199e-06,0.0096838115197718719,7.8781740840588525e-06
