config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE
0,0,0,0.53559637199999999,0,0,0,0,0,0
1,0.00084343536456167839,6.7944292661458802e-07,0.53307880699999999,0,0,0.0015607340272276234,8.699227671129213e-08,0,0
2,0.0025401818569314033,5.9950787138868399e-06,0.53152962500000001,0,0,0.0040550529216908859,6.0804941017694669e-07,0,0
3,0.0058373034384339006,3.1438169451102983e-05,0.531590373,0,0,0.0082544373065514005,3.0366291143224199e-06,0,0
4,0.012356666051327089,0.00014060762633380554,0.53391357100000003,0,0,0.015279397859918326,1.3449920543001751e-05,0,0
5,0.025147556882358816,0.00058178795680319056,0.529534065,0,0,0.027626122532480139,5.6284506996976423e-05,0,0
6,0.049493938184816282,0.0022634869005462416,0.52925536299999998,0,0,0.049095544509439357,0.00023102918783032435,0,0
7,0.094538836792557493,0.0083143763096344345,0.53152762200000003,0,0,0.085255560296429084,0.00092764184431067063,0,0
8,0.1732910693974484,0.028325774871908536,0.53451738599999998,0,0,0.14750765219397771,0.0037075412252906923,0,0
9,0.29157084698972402,0.082585779320517805,0.53251561400000003,0,0,0.24961599500449363,0.014617581752285617,0,0
10,0.41464714168061606,0.17429545179283673,0.53455439900000001,0,0,0.4138703415542101,0.057007740794067396,0,0
11,0.41464714168061606,0.17429545179283673,0.53377428199999999,0,0,0.64804884266719576,0.21178823601692426,0,0
12,0.41464714168061606,0.17429545179283673,0.53154651100000005,0,0,0.94160348976555397,0.76149928785572885,0,0
13,0.41464714168061606,0.17429545179283673,0.53290266799999997,0,0,0.999237060546875,1,0,0
14,0.41464714168061606,0.17429545179283673,0.53221070199999998,0,0,0.999237060546875,1,0,0
15,0.41464714168061606,0.17429545179283673,0.53027338599999996,0,0,0.999237060546875,1,0,0
16,0.41464714168061606,0.17429545179283673,0.52945025499999998,0,0,0.999237060546875,1,0,0
17,0.0010514133595897429,1.0539587193936385e-06,0.52848685100000004,0.0014804048558605166,8.5770266084834431e-08,0,0,0,0
18,0.0018948487241514267,3.3101161181256274e-06,0.52926074599999995,0.0014804048558605166,8.5770266084834431e-08,0.0015607340272276234,8.699227671129213e-08,0,0
19,0.0068887167980236415,4.3420488918178127e-05,0.53146846999999997,0.0014804048558605166,8.5770266084834431e-08,0.0082544373065514005,3.0366291143224199e-06,0,0
20,0.17434248275703881,0.028654488956791884,0.52916532199999999,0.0014804048558605166,8.5770266084834431e-08,0.14750765219397771,0.0037075412252906923,0,0
21,0.29262226034931432,0.083144137737692692,0.53189991999999997,0.0014804048558605166,8.5770266084834431e-08,0.24961599500449363,0.014617581752285617,0,0
22,0.41569855504020803,0.17510154315184298,0.526581678,0.0014804048558605166,8.5770266084834431e-08,0.999237060546875,1,0,0
23,0.0031447637147502183,9.1798512677638021e-06,0.50583632499999998,0.0038671423070350116,6.0167911275101481e-07,0,0,0,0
24,0.0039881990793118978,1.4587856845547693e-05,0.49148645899999999,0.0038671423070350116,6.0167911275101481e-07,0.0015607340272276234,8.699227671129213e-08,0,0
25,0.0056849455716816233,2.9435844244930138e-05,0.49236803499999998,0.0038671423070350116,6.0167911275101481e-07,0.0040550529216908859,6.0804941017694669e-07,0,0
26,0.052638701899566494,0.0025510172833617885,0.49019565999999998,0.0038671423070350116,6.0167911275101481e-07,0.049095544509439357,0.00023102918783032435,0,0
27,0.29471561070447377,0.084266503500230489,0.49478468399999997,0.0038671423070350116,6.0167911275101481e-07,0.24961599500449363,0.014617581752285617,0,0
28,0.41779190539536692,0.17671806804039211,0.49778261400000001,0.0038671423070350116,6.0167911275101481e-07,0.4138703415542101,0.057007740794067396,0,0
29,0.41779190539536692,0.17671806804039211,0.50143979699999996,0.0038671423070350116,6.0167911275101481e-07,0.64804884266719576,0.21178823601692426,0,0
30,0.41779190539536692,0.17671806804039211,0.51324718800000002,0.0038671423070350116,6.0167911275101481e-07,0.999237060546875,1,0,0
31,0.0073248777364133179,4.9333806257897932e-05,0.53164425400000004,0.007840958711626966,3.0142486114085097e-06,0,0,0,0
32,0.0081683131009750182,6.1029255951748953e-05,0.53111846299999999,0.007840958711626966,3.0142486114085097e-06,0.0015607340272276234,8.699227671129213e-08,0,0
33,0.013162181174847225,0.0001570482428881103,0.51713442799999998,0.007840958711626966,3.0142486114085097e-06,0.0082544373065514005,3.0366291143224199e-06,0,0
34,0.056818815921229338,0.0029618454835762102,0.50540835500000003,0.007840958711626966,3.0142486114085097e-06,0.049095544509439357,0.00023102918783032435,0,0
35,0.18061594713386228,0.030664758518628207,0.499925112,0.007840958711626966,3.0142486114085097e-06,0.14750765219397771,0.0037075412252906923,0,0
