config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE
0,0,0,2.6406939939999998,0,0,0,0
1,26.002449980578362,0.0035971461357467722,3.0844426120000001,0,0,0.00011207984914413385,3.7138917343712427e-10
2,29.889371389483014,0.007188957999010333,4.4931356310000004,0,0,0.0003374478269392953,2.6067818778029443e-09
3,31.1846203616821,0.014345917690993132,3.1221739880000001,0,0,0.00087225065174227536,1.2921219695321674e-08
4,32.910050683613903,0.02860051370907974,3.1814252679999999,0,0,0.001707158513230528,5.8057471642580723e-08
5,33.728928388590553,0.046198984588047949,3.0158070490000002,0,0,0.0030170386351282847,2.349255996698125e-07
6,34.300388450213596,0.080803720590261141,3.1854238119999998,0,0,0.0046875481742341641,9.6904114179813946e-07
7,34.45116370766587,0.13418946369127135,3.2210400020000001,0,0,0.0081538974143072918,3.9956118341638821e-06
8,33.844248357976099,0.2007616361043193,3.344491562,0,0,0.014886053092503843,1.6219277480660707e-05
9,31.798109577213953,0.39400020535729469,4.0019560670000001,0,0,0.027542319420171327,6.4913950007323208e-05
10,28.442332513593335,0.64801513411065592,3.7959700719999998,0,0,0.046732519040330697,0.00026005988385331236
11,16.723157869273933,0.74093130921063333,3.0600503579999998,0,0,0.081421590091113549,0.0010294086846710624
12,31.536416036810188,0.28384371288751997,3.6338328039999999,0,0,0.14412080523703888,0.0041101211266755698
13,25.817030385391661,0.39637777394916029,3.029400651,0,0,0.24760837659081752,0.016506859848475133
14,33.644915331061341,0.042704503549982585,4.9785097199999999,0.00022644612748899434,1.9739090728547439e-08,0,0
15,33.797806142790414,0.046238080028088671,6.6293688729999998,0.00022644612748899434,1.9739090728547439e-08,0.00011207984914413385,3.7138917343712427e-10
16,33.7827441302111,0.04621265587446894,3.4359903589999998,0.00022644612748899434,1.9739090728547439e-08,0.0003374478269392953,2.6067818778029443e-09
17,33.884702307872729,0.049698412657654831,4.0213411519999998,0.00022644612748899434,1.9739090728547439e-08,0.00087225065174227536,1.2921219695321674e-08
18,34.130033275401509,0.060122417958776861,3.4133682809999999,0.00022644612748899434,1.9739090728547439e-08,0.001707158513230528,5.8057471642580723e-08
19,34.179926322943103,0.066912950827763107,3.214724806,0.00022644612748899434,1.9739090728547439e-08,0.0030170386351282847,2.349255996698125e-07
20,34.421953497918651,0.10095950891852302,2.6289553749999999,0.00022644612748899434,1.9739090728547439e-08,0.0046875481742341641,9.6904114179813946e-07
21,34.252019259914597,0.14036362172889832,3.743847508,0.00022644612748899434,1.9739090728547439e-08,0.0081538974143072918,3.9956118341638821e-06
22,33.642337125770993,0.2189127406965389,3.2457583049999998,0.00022644612748899434,1.9739090728547439e-08,0.014886053092503843,1.6219277480660707e-05
23,31.36279377719379,0.42063483362580262,4.021744183,0.00022644612748899434,1.9739090728547439e-08,0.027542319420171327,6.4913950007323208e-05
24,27.586758030658139,0.65361430954742872,3.321883621,0.00022644612748899434,1.9739090728547439e-08,0.046732519040330697,0.00026005988385331236
25,16.660830001938297,0.73327278127573037,3.1990262220000001,0.00022644612748899434,1.9739090728547439e-08,0.081421590091113549,0.0010294086846710624
26,32.351451013633415,0.2964054260798783,3.2412228789999999,0.00022644612748899434,1.9739090728547439e-08,0.14412080523703888,0.0041101211266755698
27,25.68857765292071,0.39257635919916117,3.777512137,0.00022644612748899434,1.9739090728547439e-08,0.24760837659081752,0.016506859848475133
28,34.445183407101752,0.09433374579612884,3.8374630340000002,0.00069359417463306611,1.3751251134885414e-07,0,0
29,34.48990289812987,0.097766724362046281,3.2916933780000002,0.00069359417463306611,1.3751251134885414e-07,0.00011207984914413385,3.7138917343712427e-10
30,34.472221818339335,0.097738391711195374,3.2055617779999999,0.00069359417463306611,1.3751251134885414e-07,0.0003374478269392953,2.6067818778029443e-09
31,34.437740268877398,0.097679176668773723,4.5711933450000002,0.00069359417463306611,1.3751251134885414e-07,0.00087225065174227536,1.2921219695321674e-08
32,34.491767930728741,0.10777873152902712,4.3916345569999997,0.00069359417463306611,1.3751251134885414e-07,0.001707158513230528,5.8057471642580723e-08
33,34.562476634102303,0.12447877782890192,4.2484421210000001,0.00069359417463306611,1.3751251134885414e-07,0.0030170386351282847,2.349255996698125e-07
34,34.400035994933702,0.1373088352875145,4.7239829210000002,0.00069359417463306611,1.3751251134885414e-07,0.0046875481742341641,9.6904114179813946e-07
35,34.137284806275439,0.17913567470725855,4.4512507330000002,0.00069359417463306611,1.3751251134885414e-07,0.0081538974143072918,3.9956118341638821e-06
36,33.396734498835123,0.24992497317824752,3.9809246059999999,0.00069359417463306611,1.3751251134885414e-07,0.014886053092503843,1.6219277480660707e-05
37,31.171863505223929,0.451173319650916,3.2533999360000001,0.00069359417463306611,1.3751251134885414e-07,0.027542319420171327,6.4913950007323208e-05
38,27.154441743700751,0.68172900582599005,3.3595298919999999,0.00069359417463306611,1.3751251134885414e-07,0.046732519040330697,0.00026005988385331236
39,15.76782799444379,0.72595142313693872,3.6199707760000002,0.00069359417463306611,1.3751251134885414e-07,0.081421590091113549,0.0010294086846710624
40,30.852656398325639,0.30628922112612861,5.2314205200000004,0.00069359417463306611,1.3751251134885414e-07,0.14412080523703888,0.0041101211266755698
41,25.666879469430786,0.37718655351260411,5.1631333149999996,0.00069359417463306611,1.3751251134885414e-07,0.24760837659081752,0.016506859848475133
42,34.194905189970271,0.1630795268179773,5.2897594059999999,0.0014676780177480359,6.8595521498538756e-07,0,0
43,34.184979865120205,0.16307372681462476,3.582053938,0.0014676780177480359,6.8595521498538756e-07,0.00011207984914413385,3.7138917343712427e-10
44,34.168729077160741,0.16306841984338669,3.2228436650000001,0.0014676780177480359,6.8595521498538756e-07,0.0003374478269392953,2.6067818778029443e-09
45,34.154154659829537,0.16625875472041507,5.158280854,0.0014676780177480359,6.8595521498538756e-07,0.00087225065174227536,1.2921219695321674e-08
46,34.145268158083994,0.17907072951550049,5.2734331790000004,0.0014676780177480359,6.8595521498538756e-07,0.001707158513230528,5.8057471642580723e-08
47,33.991517613614207,0.18217987396693375,5.2727202569999996,0.0014676780177480359,6.8595521498538756e-07,0.0030170386351282847,2.349255996698125e-07
48,33.866358057919136,0.20707833132094863,5.2858732709999998,0.0014676780177480359,6.8595521498538756e-07,0.0046875481742341641,9.6904114179813946e-07
49,33.211529753776823,0.23731307544891866,4.5006249550000001,0.0014676780177480359,6.8595521498538756e-07,0.0081538974143072918,3.9956118341638821e-06
50,32.317885266260497,0.35293597262313131,2.9683041480000001,0.0014676780177480359,6.8595521498538756e-07,0.014886053092503843,1.6219277480660707e-05
51,29.586434841779035,0.5188205610101283,3.1827291180000001,0.0014676780177480359,6.8595521498538756e-07,0.027542319420171327,6.4913950007323208e-05
52,24.847424417866687,0.71445656424681814,2.8441427159999999,0.0014676780177480359,6.8595521498538756e-07,0.046732519040330697,0.00026005988385331236
