config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE
0,0,0,3.5519369329999999,0,0,0,0
1,33.644915331061341,0.042704503549982585,3.186731848,0.00022644612748899434,1.9739090728547439e-08,0,0
2,34.445183407101752,0.09433374579612884,3.4064734570000001,0.00069359417463306611,1.3751251134885414e-07,0,0
3,34.194905189970271,0.1630795268179773,3.3100221940000001,0.0014676780177480359,6.8595521498538756e-07,0,0
4,32.778250356472846,0.32871592234213692,3.1793730939999998,0.0029172894198855751,3.0492882965481363e-06,0,0
5,28.865757653550666,0.58105291544633575,4.7552463999999999,0.0055788644878239924,1.278952375363244e-05,0,0
6,20.089654410291324,0.74116173670720842,3.9672124649999998,0.010795783125521267,5.2290532412954391e-05,0,0
7,2.4631971971163118,0.36844382255548014,4.1334770760000001,0.020495240530516365,0.0002112170927423131,0,0
8,10.675212099127258,0.52739727706484107,2.7016297690000002,0.037591237216430873,0.00085313170389197967,0,0
9,7.2778375739308538,0.50023779089947606,3.0670018159999999,0.067291972037751571,0.0033954728347152041,0,0
10,1,1,1.964522817,0.11458709799331832,0.013298912131096383,0,0
11,1,1,2.0583919750000002,0.19030600422298702,0.051870584294857788,0,0
12,1,1,2.0254066819999998,0.30552277563669089,0.20216156298001139,0,0
13,1,1,1.7918003650000001,0.46242828267582764,0.78900010239482321,0,0
14,1,1,2.2714677669999999,0.4934755720470006,1,0,0
15,1,1,2.4707649360000001,0.4934755720470006,1,0,0
16,1,1,1.9741523910000001,0.4934755720470006,1,0,0
17,26.002449980578362,0.0035971461357467722,4.8961767759999999,0,0,0.00011207984914413385,3.7138917343712427e-10
18,29.889371389483014,0.007188957999010333,3.9306063070000001,0,0,0.0003374478269392953,2.6067818778029443e-09
19,31.1846203616821,0.014345917690993132,2.9649718699999998,0,0,0.00087225065174227536,1.2921219695321674e-08
20,32.910050683613903,0.02860051370907974,4.2545428210000003,0,0,0.001707158513230528,5.8057471642580723e-08
21,33.728928388590553,0.046198984588047949,4.0715554320000003,0,0,0.0030170386351282847,2.349255996698125e-07
22,34.300388450213596,0.080803720590261141,3.2543476579999999,0,0,0.0046875481742341641,9.6904114179813946e-07
23,34.45116370766587,0.13418946369127135,3.157633127,0,0,0.0081538974143072918,3.9956118341638821e-06
24,33.844248357976099,0.2007616361043193,3.1626018390000001,0,0,0.014886053092503843,1.6219277480660707e-05
25,31.798109577213953,0.39400020535729469,3.1185150209999999,0,0,0.027542319420171327,6.4913950007323208e-05
26,28.442332513593335,0.64801513411065592,4.5364942619999997,0,0,0.046732519040330697,0.00026005988385331236
27,16.723157869273933,0.74093130921063333,4.361512641,0,0,0.081421590091113549,0.0010294086846710624
28,31.536416036810188,0.28384371288751997,3.2335954760000001,0,0,0.14412080523703888,0.0041101211266755698
29,25.817030385391661,0.39637777394916029,4.1783297270000004,0,0,0.24760837659081752,0.016506859848475133
30,1,1,3.540381349,0,0,0.41431710135539862,0.065918264166414095
31,1,1,3.7963014469999998,0,0,0.66331577131332609,0.26250090303316986
32,1,1,2.6528222480000001,0,0,0.98696660482374765,1
