config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE
0,0,0,0.014988639999999999,0,0,0,0,0,0,0,0,0,0
1,0.0029766759111611403,1.6217773738815164e-07,0.014966267,0.0002107349811628163,2.5128380130182859e-09,0,0,0,0,0,0,0,0
2,0.009126543273492882,0.0024381123445579764,0.014862916,0.0007382625170564125,1.7617451627355485e-08,0,0,0,0,0,0,0,0
3,0.029683261974260255,0.019518584957626171,0.014857365000000001,0.0017106462852032518,8.879222184036865e-08,0,0,0,0,0,0,0,0
4,0.053150182935630889,0.019538967122517861,0.014989893000000001,0.0039862300600562936,3.944317897486615e-07,0,0,0,0,0,0,0,0
5,0.11225553190331186,0.040698651875760841,0.014964434,0.008194302664458324,1.668695573137405e-06,0,0,0,0,0,0,0,0
6,0.27154110857718117,0.11228891104894929,0.014901441,0.016769159106422821,6.8126338580407757e-06,0,0,0,0,0,0,0,0
7,0.54451888886754729,0.19369066609374122,0.014950857,0.033626096821561674,2.7592266587478949e-05,0,0,0,0,0,0,0,0
8,1.3837405805579628,0.37069731107127302,0.014972968999999999,0.066939274320494069,0.00011095194821955924,0,0,0,0,0,0,0,0
9,2.1078509755393302,0.57849582714825631,0.014864619000000001,0.13176089435020727,0.00044119738942117147,0,0,0,0,0,0,0,0
10,3.7721826268628691,0.98182416143208384,0.014867864999999999,0.26265410100364994,0.0017665486377781159,0,0,0,0,0,0,0,0
11,6.8610230365690148,1.6225327441394632,0.014892071999999999,0.52395431198870634,0.0071021855243633735,0,0,0,0,0,0,0,0
12,11.675400539275721,3.4687054277978695,0.014790295,1.0425202674316312,0.028413058107463699,0,0,0,0,0,0,0,0
13,11.297526851031886,3.0694817053531742,0.01487515,2.0790020865311898,0.11338234176905196,0,0,0,0,0,0,0,0
14,11.23239862532971,2.795629897224623,0.014839691,4.1501147167527375,0.45105938678341451,0,0,0,0,0,0,0,0
15,11.096673227652945,3.0596528234217986,0.014839821,8.2996973364750151,1.8210505010620015,0,0,0,0,0,0,0,0
16,0.99950000000000006,1,0.014657636999999999,0.99990000000000001,1,0,0,0,0,0,0,0,0
17,0.0013813515085810241,4.3706746686867395e-08,0.014932561,0,0,0.00054984026108467472,5.4234620717900624e-09,0,0,0,0,0,0
18,0.003970842956159573,3.0725557411672008e-07,0.014848116999999999,0,0,0.0014826382597978712,3.7927712872417375e-08,0,0,0,0,0,0
19,0.0093739160284468676,0.002438175969402454,0.014858646999999999,0,0,0.0032763021406752579,1.8605944461100654e-07,0,0,0,0,0,0
20,0.027501260299418254,0.017086567641810213,0.014923544,0,0,0.0065000668855896863,8.306447327947619e-07,0,0,0,0,0,0
21,0.049995662003868291,0.019539982369945898,0.014831113999999999,0,0,0.012588944289611177,3.5224865185964549e-06,0,0,0,0,0,0
22,0.10415726422248185,0.040695580608500537,0.014841725,0,0,0.025011694954138793,1.4476156942003518e-05,0,0,0,0,0,0
23,0.26026988538664458,0.10950228249128527,0.014895429,0,0,0.049308902239849808,5.8318337274775721e-05,0,0,0,0,0,0
24,0.52949414838276154,0.20310701384464241,0.014902523000000001,0,0,0.099112756898239507,0.00023255411467313362,0,0,0,0,0,0
25,1.502412068325311,0.33547642934792765,0.014868516,0,0,0.199574729684656,0.00093691305727090681,0,0,0,0,0,0
26,1.703016416040912,0.51285578487162142,0.014883907,0,0,0.39846964652214728,0.0037432690759781175,0,0,0,0,0,0
27,3.0311860473932937,0.89821456604344685,0.014904867,0,0,0.7966163047825886,0.014941803881506436,0,0,0,0,0,0
28,5.5720491032092001,1.4935493084979705,0.014933313,0,0,1.5927285756014919,0.059665995365202014,0,0,0,0,0,0
29,10.285055298373484,3.2356213085342258,0.014841824999999999,0,0,3.193045441242798,0.24180537442914585,0,0,0,0,0,0
30,9.9838033516966735,3.0261489792217473,0.014938982999999999,0,0,6.3844707962904987,0.95918117844687556,0,0,0,0,0,0
31,11.099320939217504,2.9571496108550259,0.014862686,0,0,12.766536505536513,4.1415129612191013,0,0,0,0,0,0
32,0.99950000000000006,1,0.014840192,0,0,0.99970000000000003,1,0,0,0,0,0,0
33,0.00070197865786598382,1.389118598028215e-08,0.014911971,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0,0,0,0
34,0.0014740012436632354,5.9236062963357373e-08,0.014888626,0,0,0,0,0.0014914208778900066,4.0933148225877827e-08,0,0,0,0
35,0.0033991903230726271,2.6902288445571144e-07,0.014843449,0,0,0,0,0.0032657381748219037,2.0747590606460765e-07,0,0,0,0
36,0.006591427852080672,1.1410865993951167e-06,0.014852885999999999,0,0,0,0,0.0067340929936715345,9.2459189360104763e-07,0,0,0,0
37,0.017312153750238427,0.0024398562642416015,0.014879348000000001,0,0,0,0,0.013875902228953515,3.8910972590460246e-06,0,0,0,0
38,0.02900284896856644,0.0048834060701308463,0.014828439000000001,0,0,0,0,0.029482704752294028,1.5922870822089668e-05,0,0,0,0
39,0.051731970702714021,0.0097888205592887474,0.0148498,0,0,0,0,0.058191510134582916,6.3561167843227188e-05,0,0,0,0
40,0.13428062939056121,0.021994318134286366,0.014840623000000001,0,0,0,0,0.11753286278100532,0.00026025549033156434,0,0,0,0
41,0.26570518321353503,0.05062268208178531,0.014796327,0,0,0,0,0.23357852699496401,0.001044597176994619,0,0,0,0
42,0.53113133191940021,0.092726853815231894,0.014848748,0,0,0,0,0.47021454019835729,0.0041776292204193065,0,0,0,0
43,1.3537853264372897,0.22526823026462525,0.014884779000000001,0,0,0,0,0.93346784957783291,0.01662817718198269,0,0,0,0
44,2.6861993604517789,0.42684647512542429,0.014897934,0,0,0,0,1.872543017345907,0.066545727003749666,0,0,0,0
45,4.4938044026286281,0.89600153990696374,0.014893426,0,0,0,0,3.7517436382232781,0.26698736933947997,0,0,0,0
46,8.1934558220757587,2.1329938502955708,0.014852565999999999,0,0,0,0,7.5099294359183117,1.0812527109794494,0,0,0,0
47,11.146065770622887,2.9698814373607392,0.014946127999999999,0,0,0,0,15.028267867175295,4.7807314033370316,0,0,0,0
48,0.99950000000000006,1,0.014854469,0,0,0,0,0.99970000000000003,1,0,0,0,0
49,0.00087948544621906403,1.7115793815610178e-08,0.014891531,0,0,0,0,0,0,0.00059882329038815337,6.6185493683973793e-09,0,0
50,0.0029739362401572109,0.0073121970832199096,0.014894858,0,0,0,0,0,0,0.0016266125358492093,4.650168832398788e-08,0,0
51,0.0061648302841776168,0.0073112848807718117,0.014958140999999999,0,0,0,0,0,0,0.0036204138554804133,2.2943610162988871e-07,0,0
52,0.012898298143288108,0.0073120574527624094,0.015030381000000001,0,0,0,0,0,0,0.0075661031970618185,1.0157051859989345e-06,0,0
53,0.022758566356909555,0.0097522347400245367,0.015082683,0,0,0,0,0,0,0.016534326377095288,4.2141881657428466e-06,0,0
54,0.048201776899621587,0.014635975933810979,0.015205742,0,0,0,0,0,0,0.032922391524293174,1.7197917793120815e-05,0,0
