config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE
0,0,0,0.015245659,0,0,0,0,0,0,0,0,0,0
1,0.0003441145397622694,2.8488482178333717e-09,0.015054147,0,0,0,0,0,0,0,0,0.0003441145397622694,2.8488482178333717e-09
2,0.0011137781542328951,1.9666077745222721e-08,0.014907412,0,0,0,0,0,0,0,0,0.0011137781542328951,1.9666077745222721e-08
3,0.0025502881807835864,9.853245885274214e-08,0.014967980000000001,0,0,0,0,0,0,0,0,0.0025502881807835864,9.853245885274214e-08
4,0.0055576717676975368,4.4941701671434056e-07,0.015000403000000001,0,0,0,0,0,0,0,0,0.0055576717676975368,4.4941701671434056e-07
5,0.011998077590687784,1.9024147497166475e-06,0.015065037999999999,0,0,0,0,0,0,0,0,0.011998077590687784,1.9024147497166475e-06
6,0.024380651360960948,7.631216362179021e-06,0.014978180000000001,0,0,0,0,0,0,0,0,0.024380651360960948,7.631216362179021e-06
7,0.048165930627978824,3.1024997526312467e-05,0.014947190000000001,0,0,0,0,0,0,0,0,0.048165930627978824,3.1024997526312467e-05
8,0.095166505640853619,0.00012474732005306627,0.014884609,0,0,0,0,0,0,0,0,0.095166505640853619,0.00012474732005306627
9,0.19041559486652979,0.0004957115273660211,0.0148495,0,0,0,0,0,0,0,0,0.19041559486652979,0.0004957115273660211
10,0.00087948544621906403,1.7115793815610178e-08,0.014871974,0,0,0,0,0,0,0.00059882329038815337,6.6185493683973793e-09,0,0
11,0.00170877626884116,6.0561438653463164e-08,0.014900329,0,0,0,0,0,0,0.00059882329038815337,6.6185493683973793e-09,0.0011137781542328951,1.9666077745222721e-08
12,0.0029739362401572109,0.0073121970832199096,0.014829401000000001,0,0,0,0,0,0,0.0016266125358492093,4.650168832398788e-08,0,0
13,0.050308162028290561,0.0073180526565914212,0.014829241,0,0,0,0,0,0,0.0016266125358492093,4.650168832398788e-08,0.048165930627978824,3.1024997526312467e-05
14,0.097279589152466941,0.0073864126262395248,0.014946909,0,0,0,0,0,0,0.0016266125358492093,4.650168832398788e-08,0.095166505640853619,0.00012474732005306627
15,0.0061648302841776168,0.0073112848807718117,0.014890029000000001,0,0,0,0,0,0,0.0036204138554804133,2.2943610162988871e-07,0,0
16,0.19310949729788859,0.0077159399791956948,0.014807458000000001,0,0,0,0,0,0,0.0036204138554804133,2.2943610162988871e-07,0.19041559486652979,0.0004957115273660211
17,0.012898298143288108,0.0073120574527624094,0.014820834,0,0,0,0,0,0,0.0075661031970618185,1.0157051859989345e-06,0,0
18,0.022758566356909555,0.0097522347400245367,0.014827056999999999,0,0,0,0,0,0,0.016534326377095288,4.2141881657428466e-06,0,0
19,0.023814621755404556,0.0097524375758607177,0.014803751,0,0,0,0,0,0,0.016534326377095288,4.2141881657428466e-06,0.0011137781542328951,1.9666077745222721e-08
20,0.025276488204609857,0.0097528737703392303,0.014759425,0,0,0,0,0,0,0.016534326377095288,4.2141881657428466e-06,0.0025502881807835864,9.853245885274214e-08
21,0.068581431701580362,0.0097837109976060491,0.014757470999999999,0,0,0,0,0,0,0.016534326377095288,4.2141881657428466e-06,0.048165930627978824,3.1024997526312467e-05
22,0.11988647427288997,0.0098689464111416172,0.014777248999999999,0,0,0,0,0,0,0.016534326377095288,4.2141881657428466e-06,0.095166505640853619,0.00012474732005306627
23,0.048201776899621587,0.014635975933810979,0.014778862,0,0,0,0,0,0,0.032922391524293174,1.7197917793120815e-05,0,0
24,0.048569387044598927,0.014636230644908432,0.014726461,0,0,0,0,0,0,0.032922391524293174,1.7197917793120815e-05,0.0003441145397622694,2.8488482178333717e-09
25,0.049280560610290187,0.014636904058363353,0.014708366,0,0,0,0,0,0,0.032922391524293174,1.7197917793120815e-05,0.0011137781542328951,1.9666077745222721e-08
26,0.050370033202195845,0.014637988439317269,0.01472042,0,0,0,0,0,0,0.032922391524293174,1.7197917793120815e-05,0.0025502881807835864,9.853245885274214e-08
27,0.052512972862017705,0.014640919945569148,0.014750027000000001,0,0,0,0,0,0,0.032922391524293174,1.7197917793120815e-05,0.0055576717676975368,4.4941701671434056e-07
28,0.090438203581291024,0.014696085071975135,0.014793732,0,0,0,0,0,0,0.032922391524293174,1.7197917793120815e-05,0.048165930627978824,3.1024997526312467e-05
29,0.10626091218792037,0.017172186053728233,0.014790396000000001,0,0,0,0,0,0,0.067329104785706195,7.0057662713197101e-05,0,0
30,0.10727818718281726,0.017174144079766113,0.014774453999999999,0,0,0,0,0,0,0.067329104785706195,7.0057662713197101e-05,0.0011137781542328951,1.9666077745222721e-08
31,0.22474799709233026,0.029637380800877716,0.014781206999999999,0,0,0,0,0,0,0.13466067744867269,0.00028084676437526779,0,0
32,0.22982799277280136,0.029658565091083635,0.014789754,0,0,0,0,0,0,0.13466067744867269,0.00028084676437526779,0.0055576717676975368,4.4941701671434056e-07
33,0.39278973636054482,0.090995375112508714,0.014801918000000001,0,0,0,0,0,0,0.27149403570967562,0.0011467575667019995,0,0
34,0.39278973636054482,0.090995375112508714,0.014742923,0,0,0,0,0,0,0.27149403570967562,0.0011467575667019995,0.0003441145397622694,2.8488482178333717e-09
35,0.39347308683392307,0.091001221407682784,0.014778582,0,0,0,0,0,0,0.27149403570967562,0.0011467575667019995,0.0011137781542328951,1.9666077745222721e-08
36,0.39647480496166554,0.091034135202929772,0.014759134,0,0,0,0,0,0,0.27149403570967562,0.0011467575667019995,0.0055576717676975368,4.4941701671434056e-07
37,0.57675855333641868,0.092703675733710911,0.014753854,0,0,0,0,0,0,0.27149403570967562,0.0011467575667019995,0.19041559486652979,0.0004957115273660211
38,0.00070197865786598382,1.389118598028215e-08,0.014805765,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0,0,0,0
39,0.0052256232805554933,4.0771337529958592e-07,0.014712855,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0,0,0.0055576717676975368,4.4941701671434056e-07
40,0.048088285194529803,3.0742953038556233e-05,0.01478785,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0,0,0.048165930627978824,3.1024997526312467e-05
41,0.00093954747263411489,1.9266478393687615e-08,0.014839400000000001,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0.00059882329038815337,6.6185493683973793e-09,0,0
42,0.096972595285211849,0.0049672994723828504,0.014897293000000001,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0.0016266125358492093,4.650168832398788e-08,0.095166505640853619,0.00012474732005306627
43,0.022698723523897443,0.009749589768644604,0.01499902,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0.016534326377095288,4.2141881657428466e-06,0,0
44,0.023692776352373355,0.0097497886590048009,0.015058716,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0.016534326377095288,4.2141881657428466e-06,0.0011137781542328951,1.9666077745222721e-08
45,0.047714441951577098,0.014633296204666428,0.014984391999999999,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0.032922391524293174,1.7197917793120815e-05,0,0
46,0.17837560159780941,0.017476377625459793,0.014915006999999999,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0.067329104785706195,7.0057662713197101e-05,0.095166505640853619,0.00012474732005306627
47,0.22450178844851415,0.029627294412042943,0.014938122999999999,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0.13466067744867269,0.00028084676437526779,0,0
48,0.22557749689893722,0.029631733947215792,0.01493208,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0.13466067744867269,0.00028084676437526779,0.0011137781542328951,1.9666077745222721e-08
49,0.39244298197920807,0.09097217117055241,0.014930156999999999,0,0,0,0,0.000556248333386102,5.9346873038682533e-09,0.27149403570967562,0.0011467575667019995,0,0
50,0.0014740012436632354,5.9236062963357373e-08,0.014892794000000001,0,0,0,0,0.0014914208778900066,4.0933148225877827e-08,0,0,0,0
51,0.094763403544540173,0.00012257756822865821,0.014956538,0,0,0,0,0.0014914208778900066,4.0933148225877827e-08,0,0,0.095166505640853619,0.00012474732005306627
52,0.0066158130169202932,7.0545121940701535e-07,0.014928343,0,0,0,0,0.0014914208778900066,4.0933148225877827e-08,0.0016266125358492093,4.650168832398788e-08,0.0055576717676975368,4.4941701671434056e-07
53,0.14764715970641692,0.017274738920822048,0.014911671,0,0,0,0,0.0014914208778900066,4.0933148225877827e-08,0.067329104785706195,7.0057662713197101e-05,0.048165930627978824,3.1024997526312467e-05
54,0.22387443540701146,0.029622208067990749,0.015000984,0,0,0,0,0.0014914208778900066,4.0933148225877827e-08,0.13466067744867269,0.00028084676437526779,0,0
55,0.30448046102548149,0.030137202978392341,0.014984452000000001,0,0,0,0,0.0014914208778900066,4.0933148225877827e-08,0.13466067744867269,0.00028084676437526779,0.095166505640853619,0.00012474732005306627
56,0.0033991903230726271,2.6902288445571144e-07,0.015014601000000001,0,0,0,0,0.0032657381748219037,2.0747590606460765e-07,0,0,0,0
57,0.0031046306157435813,2.1056104523595332e-07,0.014923313000000001,0,0,0,0,0.0032657381748219037,2.0747590606460765e-07,0,0,0.0011137781542328951,1.9666077745222721e-08
58,0.0027336537647794324,1.8555429945295531e-07,0.014869329000000001,0,0,0,0,0.0032657381748219037,2.0747590606460765e-07,0,0,0.0025502881807835864,9.853245885274214e-08
59,0.0076097690688408728,1.3247030690382128e-06,0.014898956,0,0,0,0,0.0032657381748219037,2.0747590606460765e-07,0,0,0.011998077590687784,1.9024147497166475e-06
60,0.13849446442706193,0.00048174792762597834,0.014840343000000001,0,0,0,0,0.0032657381748219037,2.0747590606460765e-07,0,0,0.19041559486652979,0.0004957115273660211
61,0.0026801529916179265,1.7840521730439758e-07,0.014782669999999999,0,0,0,0,0.0032657381748219037,2.0747590606460765e-07,0.0016266125358492093,4.650168832398788e-08,0,0
